frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
1248,13.4771,0.0000,9.5332,4.6714,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0013,0.0375,0.0211,0.0023,0.0042,4.6714,0.0073,0.0000,0.7120,0.0003,0.1206,0.1023,0.0006,0.0003,0.0000,0.0000,0.0001
1249,13.4857,0.0000,9.1093,4.2572,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0016,0.0269,0.0331,0.0020,0.0062,4.2572,0.0081,0.0000,0.7034,0.0003,0.1303,0.0884,0.0008,0.0001,0.0000,0.0000,0.0002
1250,13.4958,0.0000,9.8891,4.6454,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0009,0.0409,0.0313,0.0021,0.0023,4.6454,0.0106,0.0000,0.9500,0.0002,0.1716,0.1226,0.0008,0.0004,0.0000,0.0000,0.0003
1251,13.5051,0.0000,9.4207,4.4778,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0007,0.0289,0.0390,0.0255,0.0041,4.4778,0.0098,0.0000,0.6952,0.0003,0.1215,0.0979,0.0009,0.0008,0.0000,0.0000,0.0003
1252,13.5174,0.0000,10.8053,5.6106,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0016,0.0472,0.0467,0.0040,0.0052,5.6106,0.0180,0.0000,1.0227,0.0005,0.2073,0.1379,0.0012,0.0004,0.0000,0.0000,0.0003
1253,13.5269,0.0000,10.3598,4.5271,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0003,0.0011,0.0481,0.0305,0.0029,0.0021,4.5271,0.0094,0.0000,0.9391,0.0003,0.1702,0.1216,0.0006,0.0005,0.0000,0.0000,0.0003
1254,13.5370,0.0000,11.0018,4.1313,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804327424,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0009,0.0373,0.0296,0.0026,0.0058,4.1313,0.0091,0.0000,0.9777,0.0003,0.1644,0.1363,0.0014,0.0003,0.0000,0.0000,0.0002
1255,13.5460,0.0000,9.1628,3.7649,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804331520,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0008,0.0259,0.0221,0.0025,0.0029,3.7649,0.0087,0.0000,0.6886,0.0002,0.1243,0.0937,0.0009,0.0002,0.0000,0.0000,0.0002
1256,13.5579,0.0000,10.1139,5.6996,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804331520,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0001,0.0016,0.0429,0.0543,0.0053,0.0056,5.6996,0.0173,0.0000,0.9884,0.0004,0.1763,0.1400,0.0006,0.0005,0.0000,0.0000,0.0003
1257,13.5698,0.0000,11.6116,5.9498,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,335,362,0,0,100,5,16,16,0,0,1326,362,0,0,804331520,0.000000,0.000000,0.000000,0.00,0,0,0,0,0,20,39,30,14,30,30,30,30,30,30,36,16,0,0.0002,0.0013,0.0400,0.0458,0.0033,0.0042,5.9498,0.0163,0.0000,1.0420,0.0006,0.1859,0.1389,0.0009,0.0008,0.0000,0.0000,0.0002
