frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:world.streaming_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms
937,248.2188,78.2750,74.9993,10.4006,,false,9,0.008333,3.1809,0.0750,1.00,1.00,3.7640,22,1,40,0,53760,191,191,0,0,828575744,10.4006,0.0745,3.1809,1.2501,0.0000,0.0000
938,248.3013,78.3583,82.7845,10.3282,,false,10,0.008333,3.2333,0.0833,1.00,1.00,3.2152,22,1,40,0,53760,191,191,0,0,828575744,10.3282,0.0680,3.2333,1.1457,0.0000,0.0000
939,248.3912,78.4333,75.8449,24.2975,,false,9,0.008333,3.1020,0.0750,1.00,0.99,4.0601,22,1,40,0,53760,191,191,0,0,828575744,24.2975,0.0646,3.1020,15.4983,0.0000,0.0000
940,248.4530,78.5083,74.6434,11.6421,,false,9,0.008333,3.0028,0.0750,1.00,1.00,3.7035,22,1,40,0,53760,191,191,0,0,828575744,11.6421,0.0825,3.0028,1.1738,0.0000,0.0000
941,248.5348,78.5917,83.2213,10.0213,,false,10,0.008333,3.5140,0.0833,1.00,1.00,3.5915,22,1,40,0,53760,191,191,0,0,828575744,10.0213,0.0721,3.5140,1.1536,0.0000,0.0000
942,248.6126,78.6667,75.6582,12.1549,,false,9,0.008333,3.0783,0.0750,1.00,0.99,4.2497,22,1,40,0,53760,191,191,0,0,828575744,12.1549,0.1544,3.0783,1.1538,0.0000,0.0000
943,248.7046,78.7583,91.2168,12.6487,,false,11,0.008333,3.9732,0.0917,1.00,1.00,3.7998,22,1,40,0,53760,191,191,0,0,828575744,12.6487,0.1037,3.9732,1.4106,0.0000,0.0000
944,248.7998,78.8417,82.6330,25.3893,,false,10,0.008333,3.9885,0.0833,1.00,1.00,3.0995,22,1,40,0,53760,191,191,0,0,828575744,25.3893,0.0691,3.9885,15.7577,0.0000,0.0000
945,248.8701,78.9250,83.6494,12.0655,,false,10,0.008333,3.5821,0.0833,1.00,1.00,3.4156,22,1,40,0,53760,191,191,0,0,828579840,12.0655,0.0881,3.5821,1.3776,0.0000,0.0000
946,248.9538,79.0083,83.4429,12.2878,,false,10,0.008333,4.2452,0.0833,1.00,1.00,3.5252,22,1,40,0,53760,191,191,0,0,828579840,12.2878,0.0788,4.2452,1.1961,0.0000,0.0000
