frame,wall_s,sim_time_s,frame_ms,cpu_ms,gpu_ms,gpu_available,steps,fixed_dt_s,sim_cpu_ms,sim_advanced_s,requested_warp,effective_warp,backlog_ms,bodies,vehicles,patches_visible,patches_wanted,jobs_in_flight,eye_speed_mps,detail_bias,lod_min,lod_max,wanted_lod_max,patches_generated,triangles,cache_hits,cache_misses,streaming_queued,assets_pending,rss_bytes,rails_advanced_s,server_compute_s,server_wall_s,server_effective_warp,lod_l0,lod_l1,lod_l2,lod_l3,lod_l4,lod_l5,lod_l6,lod_l7,lod_l8,lod_l9,lod_l10,lod_l11,lod_l12,lod_l13,lod_l14,lod_l15,lod_l16,lod_l17,scope:client.camera_ms,scope:client.celestial_visuals_ms,scope:client.hud_ms,scope:client.pilot_hud_ms,scope:client.pilot_preview_ms,scope:client.pilot_simulation_ms,scope:client.starfield_ms,scope:frame.cpu_ms,scope:render.atmosphere_ms,scope:sim.total_ms,scope:simulation.coast_bake_ms,scope:simulation.trajectory_prediction_ms,scope:world.streaming_ms,scope:world.terrain_asset_upload_ms,scope:world.terrain_cbt_submit_ms,scope:world.terrain_counters_ms,scope:world.terrain_entity_sync_ms,scope:world.terrain_job_poll_ms,scope:world.terrain_materials_ms,scope:world.terrain_meshing_ms,scope:world.terrain_selection_ms
336,6.7973,0.0000,31.4854,30.6059,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,20,120,0,16,16,8,0,22762,971,123,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0007,0.0026,0.1261,0.0789,0.0096,0.0000,0.0188,30.6059,0.0493,0.0000,0.0000,0.0000,3.9259,0.0249,0.6344,0.2418,1.7534,0.0147,0.0000,38.4703,0.0007
337,6.8557,0.0000,66.1933,17.9672,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,205,365,8,21,121,0,16,16,8,0,22762,979,115,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,44,12,12,12,12,12,12,12,13,12,0,0.0015,0.0092,0.0568,0.2315,0.0102,0.0000,0.0394,17.9672,0.0224,0.0000,0.0000,0.0000,3.2961,0.0615,0.6927,0.1364,0.6044,0.0396,0.0000,79.8104,0.0021
338,6.8825,0.0000,42.7447,10.8963,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,211,365,8,22,122,0,16,16,8,0,22973,987,107,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,16,12,12,12,12,12,13,12,0,0.0006,0.0035,0.0729,0.0685,0.0105,0.0000,0.0075,10.8963,0.0428,0.0000,0.0000,0.0000,2.1051,0.0452,0.3201,0.2317,0.4771,0.0142,0.0000,72.3507,0.0003
339,6.9066,0.0000,24.6035,10.7780,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,217,365,8,23,123,0,16,16,8,0,23190,995,99,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,15,15,16,12,12,12,13,12,0,0.0004,0.0043,0.1208,0.0723,0.0068,0.0000,0.0144,10.7780,0.0682,0.0000,0.0000,0.0000,2.0356,0.0300,0.3753,0.2513,0.4660,0.0126,0.0000,42.0815,0.0006
340,6.9299,0.0000,24.2827,9.7384,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,226,365,8,24,124,0,16,16,8,0,23416,1003,91,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,15,15,15,15,15,16,13,12,0,0.0010,0.0024,0.0824,0.0570,0.0054,0.0000,0.0073,9.7384,0.0473,0.0000,0.0000,0.0000,2.1105,0.0538,0.3722,0.2275,0.5229,0.0104,0.0000,40.1605,0.0004
341,6.9517,0.0000,22.0633,9.9983,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,229,365,8,24,124,0,16,16,8,0,23645,1011,83,40,915460096,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,15,15,15,15,14,20,13,12,0,0.0002,0.0032,0.0723,0.0440,0.0068,0.0000,0.0156,9.9983,0.0492,0.0000,0.0000,0.0000,1.9105,0.0399,0.3165,0.1736,0.5256,0.0143,0.0000,38.1306,0.0010
342,6.9930,0.0000,39.5380,11.6958,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,229,365,8,24,124,0,16,16,8,0,23645,1019,75,40,915701760,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,15,15,15,15,14,20,13,12,0,0.0008,0.0039,0.1132,0.0582,0.0065,0.0000,0.0063,11.6958,0.0546,0.0000,0.0000,0.0000,1.9167,0.0288,0.3986,0.2725,0.5101,0.0060,0.0000,37.6673,0.0010
343,7.0198,0.0000,28.9032,8.5321,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,229,365,8,24,124,0,16,16,8,0,23645,1027,67,40,915800064,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,15,15,15,15,15,14,20,13,12,0,0.0002,0.0042,0.0493,0.0744,0.0146,0.0000,0.0168,8.5321,0.0230,0.0000,0.0000,0.0000,2.0618,0.0350,0.3823,0.1365,0.6756,0.0142,0.0000,42.6835,0.0004
344,7.0455,0.0000,25.8903,9.5016,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,244,365,8,24,124,0,16,16,8,0,23889,1035,59,40,915804160,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,18,20,13,12,0,0.0008,0.0022,0.0811,0.0478,0.0062,0.0000,0.0058,9.5016,0.0395,0.0000,0.0000,0.0000,2.0449,0.0315,0.3540,0.2453,0.6553,0.0096,0.0000,42.1313,0.0010
345,7.0672,0.0000,21.6835,9.4431,,true,0,0.008333,0.0000,0.0000,1.00,0.00,0.0000,22,1,247,365,8,24,124,0,16,16,8,0,24136,1043,51,40,915861504,0.000000,0.000000,0.000000,0.00,4,0,0,0,0,12,36,43,14,18,18,18,18,17,24,13,12,0,0.0006,0.0015,0.0530,0.0507,0.0073,0.0000,0.0059,9.4431,0.0217,0.0000,0.0000,0.0000,1.4205,0.0258,0.2793,0.1381,0.4209,0.0121,0.0000,41.5029,0.0008
